,Year,Team,Player,Season,School,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,SOS
138,2003,MEM,Marcus Banks,Career,UNLV,,63.0,63.0,34.3,6.0,12.2,0.495,5.0,9.1,0.551,1.0,3.1,0.33,5.0,6.8,0.731,0.8,2.6,3.3,4.3,2.5,0.2,3.6,2.9,18.1,,4.77
139,2003,SEA,Luke Ridnour,Career,Oregon,,96.0,96.0,33.6,4.5,10.5,0.429,2.4,5.0,0.47200000000000003,2.1,5.4,0.389,3.5,4.1,0.8590000000000001,0.4,2.5,3.0,5.2,1.6,0.1,3.2,2.1,14.6,,6.98
140,2003,ORL,Reece Gaines,Career,Louisville,,125.0,123.0,31.6,5.1,11.2,0.452,3.3,6.5,0.502,1.8,4.7,0.38299999999999995,3.6,4.9,0.75,,,3.4,3.8,1.5,0.2,2.7,2.5,15.6,,7.91
141,2003,BOS,Troy Bell,Career,Boston College,,122.0,122.0,35.7,6.2,14.7,0.424,3.8,8.1,0.467,2.5,6.6,0.37200000000000005,6.6,7.6,0.868,,,4.0,3.5,2.2,0.3,2.9,2.3,21.6,,5.85
143,2003,BOS,Dahntay Jones,Career,Overall,,131.0,121.0,29.8,4.9,10.7,0.452,4.0,8.3,0.484,0.8,2.4,0.344,3.3,4.4,0.745,,,4.6,1.4,1.0,0.6,2.1,3.0,13.8,,7.31
144,2003,LAL,Brian Cook,Career,Illinois,,132.0,116.0,25.7,4.8,9.4,0.51,4.1,7.3,0.5579999999999999,0.7,2.1,0.33899999999999997,2.9,3.7,0.7929999999999999,,,6.2,1.3,0.7,1.0,2.0,3.0,13.2,,9.42
146,2003,CLE,Jason Kapono,Career,UCLA,,127.0,126.0,34.0,5.5,11.7,0.469,3.0,6.1,0.489,2.5,5.6,0.446,3.0,3.6,0.83,,,5.1,2.1,0.9,0.1,2.3,2.3,16.5,,10.67
147,2003,LAL,Luke Walton,Career,Arizona,,129.0,84.0,27.2,3.3,7.6,0.426,2.8,5.9,0.47,0.5,1.8,0.284,2.1,3.1,0.685,,,5.1,4.5,1.2,0.4,2.6,1.8,9.1,,10.92
148,2003,CHI,Mario Austin,Career,Mississippi State,,91.0,64.0,26.4,5.0,9.5,0.531,5.0,9.3,0.534,0.1,0.2,0.353,3.1,4.6,0.66,2.3,4.0,6.3,1.1,0.7,0.6,2.0,2.0,13.2,,8.01
149,2003,ATL,Travis Hansen,Career,BYU,,86.0,71.0,27.4,4.3,9.8,0.434,3.4,7.4,0.455,0.9,2.4,0.369,3.8,4.9,0.774,1.4,3.4,4.8,1.7,0.7,0.4,2.0,2.8,13.2,,4.7
150,2003,WAS,Steve Blake,Career,Maryland,,138.0,136.0,31.3,2.7,6.8,0.401,1.4,3.3,0.423,1.3,3.5,0.381,1.5,2.0,0.7709999999999999,,,3.4,7.0,1.7,0.3,3.3,2.1,8.3,,9.34
